dstport	protocol	tag
188	icmp	tag188
189	tcp	tag189
190	udp	tag190
191	icmp	tag191
192	tcp	tag192
193	udp	tag193
194	icmp	tag194
195	tcp	tag195
196	udp	tag196
197	icmp	tag197
198	tcp	tag198
199	udp	tag199
200	icmp	tag200
201	tcp	tag201
202	udp	tag202
203	icmp	tag203
204	tcp	tag204
205	udp	tag205
206	icmp	tag206
207	tcp	tag207
208	udp	tag208
209	icmp	tag209
210	tcp	tag210
211	udp	tag211
212	icmp	tag212
213	tcp	tag213
214	udp	tag214
215	icmp	tag215
216	tcp	tag216
217	udp	tag217
218	icmp	tag218
219	tcp	tag219
220	udp	tag220
221	icmp	tag221
222	tcp	tag222
223	udp	tag223
224	icmp	tag224
225	tcp	tag225
226	udp	tag226
227	icmp	tag227
228	tcp	tag228
229	udp	tag229
230	icmp	tag230
231	tcp	tag231
232	udp	tag232
233	icmp	tag233
234	tcp	tag234
235	udp	tag235
236	icmp	tag236
237	tcp	tag237
238	udp	tag238
239	icmp	tag239
240	tcp	tag240
241	udp	tag241
242	icmp	tag242
243	tcp	tag243
244	udp	tag244
245	icmp	tag245
246	tcp	tag246
247	udp	tag247
248	icmp	tag248
249	tcp	tag249
250	udp	tag250
251	icmp	tag251
252	tcp	tag252
253	udp	tag253
254	icmp	tag254
255	tcp	tag255
256	udp	tag256
257	icmp	tag257
258	tcp	tag258
259	udp	tag259
260	icmp	tag260
261	tcp	tag261
262	udp	tag262
263	icmp	tag263
264	tcp	tag264
265	udp	tag265
266	icmp	tag266
267	tcp	tag267
268	udp	tag268
269	icmp	tag269
270	tcp	tag270
271	udp	tag271
272	icmp	tag272
273	tcp	tag273
274	udp	tag274
275	icmp	tag275
276	tcp	tag276
277	udp	tag277
278	icmp	tag278
279	tcp	tag279
280	udp	tag280
281	icmp	tag281
282	tcp	tag282
283	udp	tag283
284	icmp	tag284
285	tcp	tag285
286	udp	tag286
287	icmp	tag287
288	tcp	tag288
289	udp	tag289
290	icmp	tag290
291	tcp	tag291
292	udp	tag292
293	icmp	tag293
294	tcp	tag294
295	udp	tag295
296	icmp	tag296
297	tcp	tag297
298	udp	tag298
299	icmp	tag299
300	tcp	tag300
301	udp	tag301
302	icmp	tag302
303	tcp	tag303
304	udp	tag304
305	icmp	tag305
306	tcp	tag306
307	udp	tag307
308	icmp	tag308
309	tcp	tag309
310	udp	tag310
311	icmp	tag311
312	tcp	tag312
313	udp	tag313
314	icmp	tag314
315	tcp	tag315
316	udp	tag316
317	icmp	tag317
318	tcp	tag318
319	udp	tag319
320	icmp	tag320
321	tcp	tag321
322	udp	tag322
323	icmp	tag323
324	tcp	tag324
325	udp	tag325
326	icmp	tag326
327	tcp	tag327
328	udp	tag328
329	icmp	tag329
330	tcp	tag330
331	udp	tag331
332	icmp	tag332
333	tcp	tag333
334	udp	tag334
335	icmp	tag335
336	tcp	tag336
337	udp	tag337
338	icmp	tag338
339	tcp	tag339
340	udp	tag340
341	icmp	tag341
342	tcp	tag342
343	udp	tag343
344	icmp	tag344
345	tcp	tag345
346	udp	tag346
347	icmp	tag347
348	tcp	tag348
349	udp	tag349
350	icmp	tag350
351	tcp	tag351
352	udp	tag352
353	icmp	tag353
354	tcp	tag354
355	udp	tag355
356	icmp	tag356
357	tcp	tag357
358	udp	tag358
359	icmp	tag359
360	tcp	tag360
361	udp	tag361
362	icmp	tag362
363	tcp	tag363
364	udp	tag364
365	icmp	tag365
366	tcp	tag366
367	udp	tag367
368	icmp	tag368
369	tcp	tag369
370	udp	tag370
371	icmp	tag371
372	tcp	tag372
373	udp	tag373
374	icmp	tag374
375	tcp	tag375
376	udp	tag376
377	icmp	tag377
378	tcp	tag378
379	udp	tag379
380	icmp	tag380
381	tcp	tag381
382	udp	tag382
383	icmp	tag383
384	tcp	tag384
385	udp	tag385
386	icmp	tag386
387	tcp	tag387
388	udp	tag388
389	icmp	tag389
390	tcp	tag390
391	udp	tag391
392	icmp	tag392
393	tcp	tag393
394	udp	tag394
395	icmp	tag395
396	tcp	tag396
397	udp	tag397
398	icmp	tag398
399	tcp	tag399
400	udp	tag400
401	icmp	tag401
402	tcp	tag402
403	udp	tag403
404	icmp	tag404
405	tcp	tag405
406	udp	tag406
407	icmp	tag407
408	tcp	tag408
409	udp	tag409
410	icmp	tag410
411	tcp	tag411
412	udp	tag412
413	icmp	tag413
414	tcp	tag414
415	udp	tag415
416	icmp	tag416
417	tcp	tag417
418	udp	tag418
419	icmp	tag419
420	tcp	tag420
421	udp	tag421
422	icmp	tag422
423	tcp	tag423
424	udp	tag424
425	icmp	tag425
426	tcp	tag426
427	udp	tag427
428	icmp	tag428
429	tcp	tag429
430	udp	tag430
431	icmp	tag431
432	tcp	tag432
433	udp	tag433
434	icmp	tag434
435	tcp	tag435
436	udp	tag436
437	icmp	tag437
438	tcp	tag438
439	udp	tag439
440	icmp	tag440
441	tcp	tag441
442	udp	tag442
443	icmp	tag443
444	tcp	tag444
445	udp	tag445
446	icmp	tag446
447	tcp	tag447
448	udp	tag448
449	icmp	tag449
450	tcp	tag450
451	udp	tag451
452	icmp	tag452
453	tcp	tag453
454	udp	tag454
455	icmp	tag455
456	tcp	tag456
457	udp	tag457
458	icmp	tag458
459	tcp	tag459
460	udp	tag460
461	icmp	tag461
462	tcp	tag462
463	udp	tag463
464	icmp	tag464
465	tcp	tag465
466	udp	tag466
467	icmp	tag467
468	tcp	tag468
469	udp	tag469
470	icmp	tag470
471	tcp	tag471
472	udp	tag472
473	icmp	tag473
474	tcp	tag474
475	udp	tag475
476	icmp	tag476
477	tcp	tag477
478	udp	tag478
479	icmp	tag479
480	tcp	tag480
481	udp	tag481
482	icmp	tag482
483	tcp	tag483
484	udp	tag484
485	icmp	tag485
486	tcp	tag486
487	udp	tag487
488	icmp	tag488
489	tcp	tag489
490	udp	tag490
491	icmp	tag491
492	tcp	tag492
493	udp	tag493
494	icmp	tag494
495	tcp	tag495
496	udp	tag496
497	icmp	tag497
498	tcp	tag498
499	udp	tag499
500	icmp	tag500
501	tcp	tag501
502	udp	tag502
503	icmp	tag503
504	tcp	tag504
505	udp	tag505
506	icmp	tag506
507	tcp	tag507
508	udp	tag508
509	icmp	tag509
510	tcp	tag510
511	udp	tag511
512	icmp	tag512
513	tcp	tag513
514	udp	tag514
515	icmp	tag515
516	tcp	tag516
517	udp	tag517
518	icmp	tag518
519	tcp	tag519
520	udp	tag520
521	icmp	tag521
522	tcp	tag522
523	udp	tag523
524	icmp	tag524
525	tcp	tag525
526	udp	tag526
527	icmp	tag527
528	tcp	tag528
529	udp	tag529
530	icmp	tag530
531	tcp	tag531
532	udp	tag532
533	icmp	tag533
534	tcp	tag534
535	udp	tag535
536	icmp	tag536
537	tcp	tag537
538	udp	tag538
539	icmp	tag539
540	tcp	tag540
541	udp	tag541
542	icmp	tag542
543	tcp	tag543
544	udp	tag544
545	icmp	tag545
546	tcp	tag546
547	udp	tag547
548	icmp	tag548
549	tcp	tag549
550	udp	tag550
551	icmp	tag551
552	tcp	tag552
553	udp	tag553
554	icmp	tag554
555	tcp	tag555
556	udp	tag556
557	icmp	tag557
558	tcp	tag558
559	udp	tag559
560	icmp	tag560
561	tcp	tag561
562	udp	tag562
563	icmp	tag563
564	tcp	tag564
565	udp	tag565
566	icmp	tag566
567	tcp	tag567
568	udp	tag568
569	icmp	tag569
570	tcp	tag570
571	udp	tag571
572	icmp	tag572
573	tcp	tag573
574	udp	tag574
575	icmp	tag575
576	tcp	tag576
577	udp	tag577
578	icmp	tag578
579	tcp	tag579
580	udp	tag580
581	icmp	tag581
582	tcp	tag582
583	udp	tag583
584	icmp	tag584
585	tcp	tag585
586	udp	tag586
587	icmp	tag587
588	tcp	tag588
589	udp	tag589
590	icmp	tag590
591	tcp	tag591
592	udp	tag592
593	icmp	tag593
594	tcp	tag594
595	udp	tag595
596	icmp	tag596
597	tcp	tag597
598	udp	tag598
599	icmp	tag599
600	tcp	tag600
601	udp	tag601
602	icmp	tag602
603	tcp	tag603
604	udp	tag604
605	icmp	tag605
606	tcp	tag606
607	udp	tag607
608	icmp	tag608
609	tcp	tag609
610	udp	tag610
611	icmp	tag611
612	tcp	tag612
613	udp	tag613
614	icmp	tag614
615	tcp	tag615
616	udp	tag616
617	icmp	tag617
618	tcp	tag618
619	udp	tag619
620	icmp	tag620
621	tcp	tag621
622	udp	tag622
623	icmp	tag623
624	tcp	tag624
625	udp	tag625
626	icmp	tag626
627	tcp	tag627
628	udp	tag628
629	icmp	tag629
630	tcp	tag630
631	udp	tag631
632	icmp	tag632
633	tcp	tag633
634	udp	tag634
635	icmp	tag635
636	tcp	tag636
637	udp	tag637
638	icmp	tag638
639	tcp	tag639
640	udp	tag640
641	icmp	tag641
642	tcp	tag642
643	udp	tag643
644	icmp	tag644
645	tcp	tag645
646	udp	tag646
647	icmp	tag647
648	tcp	tag648
649	udp	tag649
650	icmp	tag650
651	tcp	tag651
652	udp	tag652
653	icmp	tag653
654	tcp	tag654
655	udp	tag655
656	icmp	tag656
657	tcp	tag657
658	udp	tag658
659	icmp	tag659
660	tcp	tag660
661	udp	tag661
662	icmp	tag662
663	tcp	tag663
664	udp	tag664
665	icmp	tag665
666	tcp	tag666
667	udp	tag667
668	icmp	tag668
669	tcp	tag669
670	udp	tag670
671	icmp	tag671
672	tcp	tag672
673	udp	tag673
674	icmp	tag674
675	tcp	tag675
676	udp	tag676
677	icmp	tag677
678	tcp	tag678
679	udp	tag679
680	icmp	tag680
681	tcp	tag681
682	udp	tag682
683	icmp	tag683
684	tcp	tag684
685	udp	tag685
686	icmp	tag686
687	tcp	tag687
688	udp	tag688
689	icmp	tag689
690	tcp	tag690
691	udp	tag691
692	icmp	tag692
693	tcp	tag693
694	udp	tag694
695	icmp	tag695
696	tcp	tag696
697	udp	tag697
698	icmp	tag698
699	tcp	tag699
700	udp	tag700
701	icmp	tag701
702	tcp	tag702
703	udp	tag703
704	icmp	tag704
705	tcp	tag705
706	udp	tag706
707	icmp	tag707
708	tcp	tag708
709	udp	tag709
710	icmp	tag710
711	tcp	tag711
712	udp	tag712
713	icmp	tag713
714	tcp	tag714
715	udp	tag715
716	icmp	tag716
717	tcp	tag717
718	udp	tag718
719	icmp	tag719
720	tcp	tag720
721	udp	tag721
722	icmp	tag722
723	tcp	tag723
724	udp	tag724
725	icmp	tag725
726	tcp	tag726
727	udp	tag727
728	icmp	tag728
729	tcp	tag729
730	udp	tag730
731	icmp	tag731
732	tcp	tag732
733	udp	tag733
734	icmp	tag734
735	tcp	tag735
736	udp	tag736
737	icmp	tag737
738	tcp	tag738
739	udp	tag739
740	icmp	tag740
741	tcp	tag741
742	udp	tag742
743	icmp	tag743
744	tcp	tag744
745	udp	tag745
746	icmp	tag746
747	tcp	tag747
748	udp	tag748
749	icmp	tag749
750	tcp	tag750
751	udp	tag751
752	icmp	tag752
753	tcp	tag753
754	udp	tag754
755	icmp	tag755
756	tcp	tag756
757	udp	tag757
758	icmp	tag758
759	tcp	tag759
760	udp	tag760
761	icmp	tag761
762	tcp	tag762
763	udp	tag763
764	icmp	tag764
765	tcp	tag765
766	udp	tag766
767	icmp	tag767
768	tcp	tag768
769	udp	tag769
770	icmp	tag770
771	tcp	tag771
772	udp	tag772
773	icmp	tag773
774	tcp	tag774
775	udp	tag775
776	icmp	tag776
777	tcp	tag777
778	udp	tag778
779	icmp	tag779
780	tcp	tag780
781	udp	tag781
782	icmp	tag782
783	tcp	tag783
784	udp	tag784
785	icmp	tag785
786	tcp	tag786
787	udp	tag787
788	icmp	tag788
789	tcp	tag789
790	udp	tag790
791	icmp	tag791
792	tcp	tag792
793	udp	tag793
794	icmp	tag794
795	tcp	tag795
796	udp	tag796
797	icmp	tag797
798	tcp	tag798
799	udp	tag799
800	icmp	tag800
801	tcp	tag801
802	udp	tag802
803	icmp	tag803
804	tcp	tag804
805	udp	tag805
806	icmp	tag806
807	tcp	tag807
808	udp	tag808
809	icmp	tag809
810	tcp	tag810
811	udp	tag811
812	icmp	tag812
813	tcp	tag813
814	udp	tag814
815	icmp	tag815
816	tcp	tag816
817	udp	tag817
818	icmp	tag818
819	tcp	tag819
820	udp	tag820
821	icmp	tag821
822	tcp	tag822
823	udp	tag823
824	icmp	tag824
825	tcp	tag825
826	udp	tag826
827	icmp	tag827
828	tcp	tag828
829	udp	tag829
830	icmp	tag830
831	tcp	tag831
832	udp	tag832
833	icmp	tag833
834	tcp	tag834
835	udp	tag835
836	icmp	tag836
837	tcp	tag837
838	udp	tag838
839	icmp	tag839
840	tcp	tag840
841	udp	tag841
842	icmp	tag842
843	tcp	tag843
844	udp	tag844
845	icmp	tag845
846	tcp	tag846
847	udp	tag847
848	icmp	tag848
849	tcp	tag849
850	udp	tag850
851	icmp	tag851
852	tcp	tag852
853	udp	tag853
854	icmp	tag854
855	tcp	tag855
856	udp	tag856
857	icmp	tag857
858	tcp	tag858
859	udp	tag859
860	icmp	tag860
861	tcp	tag861
862	udp	tag862
863	icmp	tag863
864	tcp	tag864
865	udp	tag865
866	icmp	tag866
867	tcp	tag867
868	udp	tag868
869	icmp	tag869
870	tcp	tag870
871	udp	tag871
872	icmp	tag872
873	tcp	tag873
874	udp	tag874
875	icmp	tag875
876	tcp	tag876
877	udp	tag877
878	icmp	tag878
879	tcp	tag879
880	udp	tag880
881	icmp	tag881
882	tcp	tag882
883	udp	tag883
884	icmp	tag884
885	tcp	tag885
886	udp	tag886
887	icmp	tag887
888	tcp	tag888
889	udp	tag889
890	icmp	tag890
891	tcp	tag891
892	udp	tag892
893	icmp	tag893
894	tcp	tag894
895	udp	tag895
896	icmp	tag896
897	tcp	tag897
898	udp	tag898
899	icmp	tag899
900	tcp	tag900
901	udp	tag901
902	icmp	tag902
903	tcp	tag903
904	udp	tag904
905	icmp	tag905
906	tcp	tag906
907	udp	tag907
908	icmp	tag908
909	tcp	tag909
910	udp	tag910
911	icmp	tag911
912	tcp	tag912
913	udp	tag913
914	icmp	tag914
915	tcp	tag915
916	udp	tag916
917	icmp	tag917
918	tcp	tag918
919	udp	tag919
920	icmp	tag920
921	tcp	tag921
922	udp	tag922
923	icmp	tag923
924	tcp	tag924
925	udp	tag925
926	icmp	tag926
927	tcp	tag927
928	udp	tag928
929	icmp	tag929
930	tcp	tag930
931	udp	tag931
932	icmp	tag932
933	tcp	tag933
934	udp	tag934
935	icmp	tag935
936	tcp	tag936
937	udp	tag937
938	icmp	tag938
939	tcp	tag939
940	udp	tag940
941	icmp	tag941
942	tcp	tag942
943	udp	tag943
944	icmp	tag944
945	tcp	tag945
946	udp	tag946
947	icmp	tag947
948	tcp	tag948
949	udp	tag949
950	icmp	tag950
951	tcp	tag951
952	udp	tag952
953	icmp	tag953
954	tcp	tag954
955	udp	tag955
956	icmp	tag956
957	tcp	tag957
958	udp	tag958
959	icmp	tag959
960	tcp	tag960
961	udp	tag961
962	icmp	tag962
963	tcp	tag963
964	udp	tag964
965	icmp	tag965
966	tcp	tag966
967	udp	tag967
968	icmp	tag968
969	tcp	tag969
970	udp	tag970
971	icmp	tag971
972	tcp	tag972
973	udp	tag973
974	icmp	tag974
975	tcp	tag975
976	udp	tag976
977	icmp	tag977
978	tcp	tag978
979	udp	tag979
980	icmp	tag980
981	tcp	tag981
982	udp	tag982
983	icmp	tag983
984	tcp	tag984
985	udp	tag985
986	icmp	tag986
987	tcp	tag987
988	udp	tag988
989	icmp	tag989
990	tcp	tag990
991	udp	tag991
992	icmp	tag992
993	tcp	tag993
994	udp	tag994
995	icmp	tag995
996	tcp	tag996
997	udp	tag997
998	icmp	tag998
999	tcp	tag999
1000	udp	tag1000
1001	icmp	tag1001
1002	tcp	tag1002
1003	udp	tag1003
1004	icmp	tag1004
1005	tcp	tag1005
1006	udp	tag1006
1007	icmp	tag1007
1008	tcp	tag1008
1009	udp	tag1009
1010	icmp	tag1010
1011	tcp	tag1011
1012	udp	tag1012
1013	icmp	tag1013
1014	tcp	tag1014
1015	udp	tag1015
1016	icmp	tag1016
1017	tcp	tag1017
1018	udp	tag1018
1019	icmp	tag1019
1020	tcp	tag1020
1021	udp	tag1021
1022	icmp	tag1022
1023	tcp	tag1023
1024	udp	tag1024
1025	icmp	tag1025
1026	tcp	tag1026
1027	udp	tag1027
1028	icmp	tag1028
1029	tcp	tag1029
1030	udp	tag1030
1031	icmp	tag1031
1032	tcp	tag1032
1033	udp	tag1033
1034	icmp	tag1034
1035	tcp	tag1035
1036	udp	tag1036
1037	icmp	tag1037
1038	tcp	tag1038
1039	udp	tag1039
1040	icmp	tag1040
1041	tcp	tag1041
1042	udp	tag1042
1043	icmp	tag1043
1044	tcp	tag1044
1045	udp	tag1045
1046	icmp	tag1046
1047	tcp	tag1047
1048	udp	tag1048
1049	icmp	tag1049
1050	tcp	tag1050
1051	udp	tag1051
1052	icmp	tag1052
1053	tcp	tag1053
1054	udp	tag1054
1055	icmp	tag1055
1056	tcp	tag1056
1057	udp	tag1057
1058	icmp	tag1058
1059	tcp	tag1059
1060	udp	tag1060
1061	icmp	tag1061
1062	tcp	tag1062
1063	udp	tag1063
1064	icmp	tag1064
1065	tcp	tag1065
1066	udp	tag1066
1067	icmp	tag1067
1068	tcp	tag1068
1069	udp	tag1069
1070	icmp	tag1070
1071	tcp	tag1071
1072	udp	tag1072
1073	icmp	tag1073
1074	tcp	tag1074
1075	udp	tag1075
1076	icmp	tag1076
1077	tcp	tag1077
1078	udp	tag1078
1079	icmp	tag1079
1080	tcp	tag1080
1081	udp	tag1081
1082	icmp	tag1082
1083	tcp	tag1083
1084	udp	tag1084
1085	icmp	tag1085
1086	tcp	tag1086
1087	udp	tag1087
1088	icmp	tag1088
1089	tcp	tag1089
1090	udp	tag1090
1091	icmp	tag1091
1092	tcp	tag1092
1093	udp	tag1093
1094	icmp	tag1094
1095	tcp	tag1095
1096	udp	tag1096
1097	icmp	tag1097
1098	tcp	tag1098
1099	udp	tag1099
1100	icmp	tag1100
1101	tcp	tag1101
1102	udp	tag1102
1103	icmp	tag1103
1104	tcp	tag1104
1105	udp	tag1105
1106	icmp	tag1106
1107	tcp	tag1107
1108	udp	tag1108
1109	icmp	tag1109
1110	tcp	tag1110
1111	udp	tag1111
1112	icmp	tag1112
1113	tcp	tag1113
1114	udp	tag1114
1115	icmp	tag1115
1116	tcp	tag1116
1117	udp	tag1117
1118	icmp	tag1118
1119	tcp	tag1119
1120	udp	tag1120
1121	icmp	tag1121
1122	tcp	tag1122
1123	udp	tag1123
1124	icmp	tag1124
1125	tcp	tag1125
1126	udp	tag1126
1127	icmp	tag1127
1128	tcp	tag1128
1129	udp	tag1129
1130	icmp	tag1130
1131	tcp	tag1131
1132	udp	tag1132
1133	icmp	tag1133
1134	tcp	tag1134
1135	udp	tag1135
1136	icmp	tag1136
1137	tcp	tag1137
1138	udp	tag1138
1139	icmp	tag1139
1140	tcp	tag1140
1141	udp	tag1141
1142	icmp	tag1142
1143	tcp	tag1143
1144	udp	tag1144
1145	icmp	tag1145
1146	tcp	tag1146
1147	udp	tag1147
1148	icmp	tag1148
1149	tcp	tag1149
1150	udp	tag1150
1151	icmp	tag1151
1152	tcp	tag1152
1153	udp	tag1153
1154	icmp	tag1154
1155	tcp	tag1155
1156	udp	tag1156
1157	icmp	tag1157
1158	tcp	tag1158
1159	udp	tag1159
1160	icmp	tag1160
1161	tcp	tag1161
1162	udp	tag1162
1163	icmp	tag1163
1164	tcp	tag1164
1165	udp	tag1165
1166	icmp	tag1166
1167	tcp	tag1167
1168	udp	tag1168
1169	icmp	tag1169
1170	tcp	tag1170
1171	udp	tag1171
1172	icmp	tag1172
1173	tcp	tag1173
1174	udp	tag1174
1175	icmp	tag1175
1176	tcp	tag1176
1177	udp	tag1177
1178	icmp	tag1178
1179	tcp	tag1179
1180	udp	tag1180
1181	icmp	tag1181
1182	tcp	tag1182
1183	udp	tag1183
1184	icmp	tag1184
1185	tcp	tag1185
1186	udp	tag1186
1187	icmp	tag1187
1188	tcp	tag1188
1189	udp	tag1189
1190	icmp	tag1190
1191	tcp	tag1191
1192	udp	tag1192
1193	icmp	tag1193
1194	tcp	tag1194
1195	udp	tag1195
1196	icmp	tag1196
1197	tcp	tag1197
1198	udp	tag1198
1199	icmp	tag1199
1200	tcp	tag1200
1201	udp	tag1201
1202	icmp	tag1202
1203	tcp	tag1203
1204	udp	tag1204
1205	icmp	tag1205
1206	tcp	tag1206
1207	udp	tag1207
1208	icmp	tag1208
1209	tcp	tag1209
1210	udp	tag1210
1211	icmp	tag1211
1212	tcp	tag1212
1213	udp	tag1213
1214	icmp	tag1214
1215	tcp	tag1215
1216	udp	tag1216
1217	icmp	tag1217
1218	tcp	tag1218
1219	udp	tag1219
1220	icmp	tag1220
1221	tcp	tag1221
1222	udp	tag1222
1223	icmp	tag1223
1224	tcp	tag1224
1225	udp	tag1225
1226	icmp	tag1226
1227	tcp	tag1227
1228	udp	tag1228
1229	icmp	tag1229
1230	tcp	tag1230
1231	udp	tag1231
1232	icmp	tag1232
1233	tcp	tag1233
1234	udp	tag1234
1235	icmp	tag1235
1236	tcp	tag1236
1237	udp	tag1237
1238	icmp	tag1238
1239	tcp	tag1239
1240	udp	tag1240
1241	icmp	tag1241
1242	tcp	tag1242
1243	udp	tag1243
1244	icmp	tag1244
1245	tcp	tag1245
1246	udp	tag1246
1247	icmp	tag1247
1248	tcp	tag1248
1249	udp	tag1249
1250	icmp	tag1250
1251	tcp	tag1251
1252	udp	tag1252
1253	icmp	tag1253
1254	tcp	tag1254
1255	udp	tag1255
1256	icmp	tag1256
1257	tcp	tag1257
1258	udp	tag1258
1259	icmp	tag1259
1260	tcp	tag1260
1261	udp	tag1261
1262	icmp	tag1262
1263	tcp	tag1263
1264	udp	tag1264
1265	icmp	tag1265
1266	tcp	tag1266
1267	udp	tag1267
1268	icmp	tag1268
1269	tcp	tag1269
1270	udp	tag1270
1271	icmp	tag1271
1272	tcp	tag1272
1273	udp	tag1273
1274	icmp	tag1274
1275	tcp	tag1275
1276	udp	tag1276
1277	icmp	tag1277
1278	tcp	tag1278
1279	udp	tag1279
1280	icmp	tag1280
1281	tcp	tag1281
1282	udp	tag1282
1283	icmp	tag1283
1284	tcp	tag1284
1285	udp	tag1285
1286	icmp	tag1286
1287	tcp	tag1287
1288	udp	tag1288
1289	icmp	tag1289
1290	tcp	tag1290
1291	udp	tag1291
1292	icmp	tag1292
1293	tcp	tag1293
1294	udp	tag1294
1295	icmp	tag1295
1296	tcp	tag1296
1297	udp	tag1297
1298	icmp	tag1298
1299	tcp	tag1299
1300	udp	tag1300
1301	icmp	tag1301
1302	tcp	tag1302
1303	udp	tag1303
1304	icmp	tag1304
1305	tcp	tag1305
1306	udp	tag1306
1307	icmp	tag1307
1308	tcp	tag1308
1309	udp	tag1309
1310	icmp	tag1310
1311	tcp	tag1311
1312	udp	tag1312
1313	icmp	tag1313
1314	tcp	tag1314
1315	udp	tag1315
1316	icmp	tag1316
1317	tcp	tag1317
1318	udp	tag1318
1319	icmp	tag1319
1320	tcp	tag1320
1321	udp	tag1321
1322	icmp	tag1322
1323	tcp	tag1323
1324	udp	tag1324
1325	icmp	tag1325
1326	tcp	tag1326
1327	udp	tag1327
1328	icmp	tag1328
1329	tcp	tag1329
1330	udp	tag1330
1331	icmp	tag1331
1332	tcp	tag1332
1333	udp	tag1333
1334	icmp	tag1334
1335	tcp	tag1335
1336	udp	tag1336
1337	icmp	tag1337
1338	tcp	tag1338
1339	udp	tag1339
1340	icmp	tag1340
1341	tcp	tag1341
1342	udp	tag1342
1343	icmp	tag1343
1344	tcp	tag1344
1345	udp	tag1345
1346	icmp	tag1346
1347	tcp	tag1347
1348	udp	tag1348
1349	icmp	tag1349
1350	tcp	tag1350
1351	udp	tag1351
1352	icmp	tag1352
1353	tcp	tag1353
1354	udp	tag1354
1355	icmp	tag1355
1356	tcp	tag1356
1357	udp	tag1357
1358	icmp	tag1358
1359	tcp	tag1359
1360	udp	tag1360
1361	icmp	tag1361
1362	tcp	tag1362
1363	udp	tag1363
1364	icmp	tag1364
1365	tcp	tag1365
1366	udp	tag1366
1367	icmp	tag1367
1368	tcp	tag1368
1369	udp	tag1369
